subj,trial,response,rt,stimOn,stimDur,correct_letter,correct
,1,f,0.33495046600000933,1.0122086030023638,3.067740156999207,f,1.0
,2,j,1.3164264330007427,5.096314242000517,3.0674218099993595,j,1.0
,3,f,1.0337659809993056,9.17939953899986,3.0507839660022,f,1.0
,4,j,0.367184366001311,13.246172315000877,3.0509101540010306,j,1.0
,5,j,0.7683420339999429,17.312252179999632,3.050820050000766,j,1.0
,6,0,0,21.37820704600017,3.051024349002546,j,0.0
,7,j,0.36838538799929665,25.445095776001835,3.067056231000606,j,1.0
,8,j,0.43421072699857177,29.52898357000231,3.0508795799978543,j,1.0
,9,j,0.4664073700005247,33.59568883900283,3.049464772997453,j,1.0
,10,j,0.28416071999890846,37.66184253600295,3.05181004699989,j,1.0
